101.558488516 10.10.1.2:47326 10.10.2.2:5001 32 0xa7bade36 0xa7baab36 10 2147483647 28960 1 29312
101.558504334 10.10.1.2:47325 10.10.2.2:5001 32 0xdced18a1 0xdcece5a1 10 2147483647 28960 1 29312
101.558509348 10.10.1.2:47327 10.10.2.2:5001 32 0x52c9c127 0x52c98e27 10 2147483647 28960 1 29312
101.561547548 10.10.1.2:47327 10.10.2.2:5001 32 0x52c9c127 0x52c98e3f 11 2147483647 29056 1 29312
101.573491481 10.10.1.2:47327 10.10.2.2:5001 32 0x52c9dd6f 0x52c993e7 12 2147483647 31872 1 29312
101.585460514 10.10.1.2:47327 10.10.2.2:5001 32 0x52c9dd6f 0x52c9998f 13 2147483647 34816 1 29312
101.597557603 10.10.1.2:47327 10.10.2.2:5001 32 0x52c9ee67 0x52c99f37 14 2147483647 37760 2 29312
101.609498316 10.10.1.2:47327 10.10.2.2:5001 32 0x52c9f9b7 0x52c9a4df 15 2147483647 40576 3 29312
101.621512910 10.10.1.2:47327 10.10.2.2:5001 32 0x52ca0507 0x52c9aa87 16 2147483647 43520 4 29312
101.633487686 10.10.1.2:47327 10.10.2.2:5001 32 0x52ca1057 0x52c9b02f 17 2147483647 46336 5 29312
101.645517808 10.10.1.2:47327 10.10.2.2:5001 32 0x52ca1ba7 0x52c9b5d7 18 2147483647 49280 7 29312
101.657510809 10.10.1.2:47327 10.10.2.2:5001 32 0x52ca26f7 0x52c9bb7f 19 2147483647 52224 9 29312
101.669529680 10.10.1.2:47326 10.10.2.2:5001 32 0xa7bade36 0xa7baab4e 11 2147483647 29056 1 29312
101.681513197 10.10.1.2:47326 10.10.2.2:5001 32 0xa7baf4d6 0xa7bab0f6 12 2147483647 31872 4 29312
101.693519244 10.10.1.2:47326 10.10.2.2:5001 32 0xa7baf4d6 0xa7bab69e 13 2147483647 34816 7 29312
101.705487288 10.10.1.2:47326 10.10.2.2:5001 32 0xa7bb0b76 0xa7babc46 14 2147483647 37760 11 29312
101.717493675 10.10.1.2:47326 10.10.2.2:5001 32 0xa7bb16c6 0xa7bac1ee 15 2147483647 40576 14 29312
101.729514105 10.10.1.2:47326 10.10.2.2:5001 32 0xa7bb2216 0xa7bac796 16 2147483647 43520 17 29312
101.741436934 10.10.1.2:47326 10.10.2.2:5001 32 0xa7bb2d66 0xa7bacd3e 17 2147483647 46336 20 29312
